solution_group,solution_priority_action_area,solution_name,sector,state,food_type,annual_tons_diversion_potential,annual_100_year_mtco2e_reduction_potential,annual_100_year_mtch4_reduction_potential,annual_gallons_water_savings_potential,annual_meal_equivalents_diverted,jobs_created,annual_us_dollars_cost,annual_us_dollars_gross_financial_benefit,annual_us_dollars_net_financial_benefit
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Alabama,Breads & Bakery,464.4226683345237,900.1734853827988,10.784081825198609,7724942.712312655,774037.7805575395,0.0,272144.4850926717,1675727.8284248875,1403583.343332216
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Alabama,Dairy & Eggs,917.6812797929877,2658.718037632188,37.06734353969783,201936155.7486657,1529468.7996549795,0.0,537747.005898854,3311173.555951427,2773426.550052573
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Alabama,Fresh Meat & Seafood,1062.8801675060772,11231.047674562786,161.96666295578817,1290895404.8567977,1771466.945843462,0.0,622831.3035159649,3835079.5437226905,3212248.2402067254
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Alabama,Produce,2905.290563106167,4350.934459180562,23.45083628091377,100491502.89885364,4842150.938510279,0.0,1702455.237976486,10482856.626521196,8780401.388544708
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Alaska,Breads & Bakery,70.5154578390351,137.5524012776712,1.6795914423959402,1172914.0485164193,117525.7630650585,0.0,41320.96530407806,254433.56470679192,213112.5994027139
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Alaska,Dairy & Eggs,125.28290612702604,363.18847171612543,5.082563387632122,27568556.754279256,208804.84354504335,0.0,73413.84110539229,452045.2306427484,378631.389537356
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Alaska,Fresh Meat & Seafood,148.9969021596071,1575.70561147958,22.769693364398844,180960584.47212952,248328.17026601185,0.0,87309.8752135463,537609.9667859249,450300.0915723786
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Alaska,Produce,452.9588772661315,678.7693946936614,3.727464701236442,15667458.155780876,754931.4621102193,0.0,265426.8812153555,1634364.2279325956,1368937.3467172403
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Arizona,Breads & Bakery,921.0119746505098,1796.5906001469252,21.93737200853648,15319589.732868891,1535019.95775085,0.0,539698.7414595917,3323191.354481281,2783492.613021689
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Arizona,Dairy & Eggs,1669.2695572917917,4839.123533583778,67.72007928502175,367323475.7320341,2782115.9288196526,0.0,978166.086894852,6023051.07183419,5044884.984939339
