year,sector,food_type,tons_surplus,tons_supply,us_dollars_surplus,tons_waste,tons_uneaten,tons_inedible_parts,tons_not_fit_for_human_consumption,tons_donations,tons_industrial_uses,tons_animal_feed,tons_anaerobic_digestion,tons_composting,tons_not_harvested,tons_incineration,tons_land_application,tons_landfill,tons_sewer,tons_dumping,surplus_upstream_100_year_mtco2e_footprint,surplus_downstream_100_year_mtco2e_footprint,surplus_total_100_year_mtco2e_footprint,surplus_upstream_100_year_mtch4_footprint,surplus_downstream_100_year_mtch4_footprint,surplus_total_100_year_mtch4_footprint,gallons_water_footprint,meals_wasted
2010,Retail,Breads & Bakery,276838.8590109868,7044245.776360987,1230837510.8694103,159878.6100126131,223942.1279514284,0.0,72119.29116095218,52896.73105955841,12791.046788966903,51272.47114984833,13318.931259622683,49661.74673938583,0.0,11495.458863304,3234.984320172578,82167.48883012802,0.0,0.0,490506.3375653954,63104.850618903176,553611.1881842986,1878.5359515140422,4221.722250893925,6100.258202407967,4852676270.297589,373236879.91904736
2010,Retail,Dairy & Eggs,216104.27520647892,25128404.09377648,516588898.86795205,124803.47325959709,174812.34903955218,1339.626897402469,68189.54299865237,41291.92616692676,9984.869556741492,40024.00622321355,10396.943538448286,38766.65227903129,0.0,8784.604935563324,2525.273887895464,64329.99861865872,0.0,0.0,645042.5489715372,13745.85091261713,658788.3998841542,8071.398013069588,971.2884514745646,9042.686464544153,50113874577.78862,291353915.06592035
2010,Retail,Dry Goods,633777.1819360736,30765882.618256073,3790914655.431751,366015.8666584777,512678.78821950784,0.0,554662.7763149934,121098.3937165657,29283.004621840966,117379.91693918908,30491.509574488377,113692.42746829058,0.0,26706.241374535748,7405.966248275114,187719.72199288785,0.0,0.0,1547821.4261118495,131055.15310410233,1678876.5792159517,7140.058104273931,8645.69330258397,15785.751406857902,73910971537.48769,854464647.0325131
2010,Retail,Fresh Meat & Seafood,436776.82232745894,10350161.66652746,3482529260.868847,250063.36311981003,352333.33215462114,64300.832611328784,160537.32104645754,84443.49017283783,20419.42124189654,81850.54779291445,21262.12751537163,79279.21326615711,0.0,16582.575968378653,0.0,132939.44636990264,0.0,0.0,4525645.822436895,81602.7337017357,4607248.556138631,61330.38576397819,4832.189635813389,66162.57539979159,530476727412.68524,587222220.2577019
2010,Retail,Frozen,64952.0300548869,12735692.167624887,284179795.0599174,37510.775473397916,52541.38048834843,501.700553179515,57482.54659857491,12410.649566538466,3001.0398772719655,12029.565137678535,3124.892316651444,11651.656412392436,0.0,2736.6623610643255,758.9931541460305,19238.57122914368,0.0,0.0,255621.79823141033,8525.653914573917,264147.4521459843,2293.18871300108,597.1339529790407,2890.322665980121,15615833154.045044,87568967.48058072
2010,Retail,Prepared Foods,170902.96459932585,3831905.035859326,1942078229.5377018,98699.0356945903,138247.83739648978,6836.401200405851,20768.128258110075,32655.127202836054,7896.390789836245,31652.4109120632,8222.273584337425,30658.050590380113,0.0,8057.579297091496,1997.0766124559368,49764.05561032532,0.0,0.0,672187.0549780601,25468.622312476782,697655.6772905368,5317.709948916445,1768.0677018535484,7085.777650769994,65530374207.66369,230413062.32748297
2010,Retail,Produce,1179511.6848460615,22947698.14875606,3508749476.0242147,681185.7603391568,954137.5715521161,270929.5276442869,401305.2605351755,225374.11329394547,54498.09034359731,218453.72086936166,56747.21788158705,211590.9983816494,0.0,50691.28198015273,13783.114912296021,348373.1471834716,0.0,0.0,1758798.9140422794,98922.69532958238,1857721.609371862,4344.042998472658,4929.044259995889,9273.087258468546,42994650865.58318,1590229285.9201934
2010,Retail,Ready-To-Drink Beverages,311381.21010039933,15115592.723320398,430726288.5933661,233970.69793915295,233970.69793915297,0.0,177502.85881773266,77410.51216124636,0.0,0.0,19491.285559535932,72676.34829058671,0.0,18917.312240257437,4734.163870659639,118151.58797811322,0.0,0.0,408428.35724034515,27465.592440983928,435893.9496813291,2021.7327802768837,1384.604572240669,3406.337352517553,4498592416.067172,389951163.2319217
2011,Retail,Breads & Bakery,309906.82978449843,7173769.207974499,1377847943.0505683,178975.8611069652,250691.66654045263,0.0,80733.82822715968,59215.16324404578,14318.91741699673,57396.888016490644,14909.856865952155,55593.765082498474,0.0,12828.059780175701,3621.398161547317,92022.78121679157,0.0,0.0,549096.5560512728,70683.89509403582,619780.4511453086,2102.9241467391635,4727.99073642667,6830.914883165834,5432320896.968823,417819444.23408777
2011,Retail,Dairy & Eggs,262810.5250116656,25053434.224181667,633533358.1395255,151777.03587444217,212594.24500376504,1662.5530379298573,82927.23306218097,50216.28000790058,12142.882448174516,48674.32668114826,12644.017279369024,47145.222965452216,0.0,10676.869988729177,3071.057042448366,78239.8685984434,0.0,0.0,784454.4990519015,16717.620358331198,801172.1194102328,9815.855551058237,1181.303093729389,10997.158644787627,60944901138.92263,354323741.67294174
